task_id,ai_assisted,task_difficulty,developer_experience,language,task_type,completion_time
task_1,0,5,9,TypeScript,docs,73.3
task_2,0,3,1,Go,docs,71.1
task_3,1,4,10,TypeScript,docs,46.1
task_4,1,4,9,JavaScript,feature,80.5
task_5,1,4,1,Go,docs,78.4
task_6,0,1,10,Python,bug_fix,32.5
task_7,0,2,8,Python,bug_fix,49.5
task_8,1,4,10,Python,refactor,67.5
task_9,0,3,8,TypeScript,feature,77.2
task_10,1,5,7,Python,refactor,92.8
task_11,0,3,8,TypeScript,feature,78.5
task_12,1,4,6,JavaScript,feature,84.3
task_13,1,3,4,Python,docs,52.5
task_14,1,2,6,Go,bug_fix,51.8
task_15,1,4,3,Python,refactor,91.2
task_16,1,5,1,JavaScript,feature,114.5
task_17,0,1,2,JavaScript,docs,40.4
task_18,0,5,10,Go,feature,104.5
task_19,0,2,7,TypeScript,refactor,57.4
task_20,0,4,8,Go,feature,97.4
task_21,1,4,5,Go,feature,94.1
task_22,1,3,2,Go,refactor,81.1
task_23,1,2,3,TypeScript,docs,42.2
task_24,1,4,10,Go,bug_fix,68
task_25,1,4,6,Python,docs,61.6
task_26,1,5,7,JavaScript,feature,95.8
task_27,1,3,3,Go,docs,57.2
task_28,1,5,10,TypeScript,docs,62.5
task_29,0,2,10,Python,refactor,51.3
task_30,0,1,6,Python,feature,63.8
task_31,1,5,3,Python,refactor,102.2
task_32,1,3,2,Python,docs,60.6
task_33,1,4,8,JavaScript,docs,56.2
task_34,1,4,4,Go,refactor,90.2
task_35,1,5,4,Python,docs,76.2
task_36,0,2,10,Go,feature,64.9
task_37,1,4,5,TypeScript,feature,91.5
task_38,0,5,4,Python,bug_fix,100.2
task_39,1,5,10,Python,docs,61
task_40,0,2,6,JavaScript,bug_fix,52.2
task_41,0,1,4,JavaScript,docs,32.5
task_42,0,1,10,TypeScript,bug_fix,31.4
task_43,0,1,5,JavaScript,refactor,56.3
task_44,0,1,3,TypeScript,docs,38.6
task_45,0,3,8,JavaScript,feature,77.2
task_46,1,4,3,Python,bug_fix,81.1
task_47,1,5,2,Go,refactor,108.1
task_48,0,4,6,Python,feature,96.3
task_49,0,1,1,JavaScript,refactor,59.3
task_50,1,4,9,JavaScript,feature,83.9
task_51,1,5,3,Go,feature,117.2
task_52,0,4,8,JavaScript,docs,61.3
task_53,0,3,5,Go,bug_fix,70.5
task_54,0,5,10,TypeScript,feature,100.4
task_55,1,5,4,TypeScript,bug_fix,91.2
task_56,0,1,1,JavaScript,refactor,66.5
task_57,0,5,5,TypeScript,bug_fix,92
task_58,0,2,9,Go,feature,67.9
task_59,1,4,6,Python,bug_fix,76.3
task_60,1,4,10,TypeScript,bug_fix,63.9
task_61,0,3,3,JavaScript,feature,90.4
task_62,0,2,10,Go,feature,69.9
task_63,1,3,3,TypeScript,refactor,73.1
task_64,0,3,7,Go,feature,87.2
task_65,1,4,3,TypeScript,docs,66.4
task_66,0,2,6,Go,feature,79.7
task_67,0,3,9,JavaScript,feature,76.4
task_68,1,5,6,JavaScript,bug_fix,79.2
task_69,1,5,8,Python,docs,64.1
task_70,0,3,1,Go,bug_fix,84
task_71,0,2,7,JavaScript,bug_fix,53.3
task_72,1,3,10,TypeScript,feature,64.9
task_73,0,2,2,TypeScript,docs,51.3
task_74,1,2,8,TypeScript,bug_fix,39.8
task_75,0,5,10,Go,refactor,93
task_76,0,1,2,JavaScript,refactor,56.5
task_77,0,3,8,TypeScript,bug_fix,63.1
task_78,0,2,10,JavaScript,docs,31.4
task_79,0,4,2,JavaScript,bug_fix,90
task_80,0,3,7,Go,bug_fix,73.2
task_81,1,3,8,Python,bug_fix,55.1
task_82,0,3,10,JavaScript,refactor,62.9
task_83,0,2,5,JavaScript,docs,42.2
task_84,0,4,6,TypeScript,feature,95.2
task_85,1,5,8,JavaScript,bug_fix,80.1
task_86,0,1,2,TypeScript,refactor,60
task_87,1,5,3,TypeScript,feature,105.1
task_88,0,2,5,JavaScript,feature,73.1
task_89,0,5,9,Python,feature,103.1
task_90,0,5,10,JavaScript,feature,100.4
task_91,0,4,1,TypeScript,refactor,101
task_92,1,3,5,Go,docs,54.1
task_93,0,5,5,JavaScript,bug_fix,91.9
task_94,1,5,6,Go,docs,79.6
task_95,0,1,9,JavaScript,feature,51.4
task_96,0,4,10,JavaScript,docs,59.8
task_97,0,1,10,JavaScript,docs,17.2
task_98,1,4,3,Python,refactor,86
task_99,1,3,3,JavaScript,refactor,73.1
task_100,1,2,3,Go,docs,45.5
task_101,0,1,7,Go,bug_fix,49
task_102,1,2,6,TypeScript,bug_fix,49.7
task_103,0,2,6,JavaScript,docs,40.2
task_104,0,2,9,Go,feature,71.3
task_105,1,5,8,Go,docs,68.1
task_106,0,2,8,Go,refactor,60.7
task_107,1,4,1,Go,feature,103.9
task_108,0,3,10,Python,bug_fix,57.8
task_109,0,1,9,TypeScript,feature,50.1
task_110,1,4,1,Go,feature,107.9
task_111,0,5,10,TypeScript,refactor,88.9
task_112,0,5,9,JavaScript,bug_fix,85.3
task_113,0,5,1,Python,feature,120.2
task_114,0,2,10,Python,docs,35.3
task_115,0,3,8,JavaScript,refactor,69.3
task_116,0,5,10,JavaScript,feature,97.3
task_117,1,4,9,Go,bug_fix,68.6
task_118,0,1,7,JavaScript,bug_fix,36.7
task_119,1,4,8,TypeScript,bug_fix,67.3
task_120,1,5,6,JavaScript,bug_fix,81.1
task_121,1,4,4,JavaScript,refactor,84.3
task_122,0,3,6,Python,docs,59.6
task_123,0,5,4,Python,bug_fix,95.5
task_124,1,1,1,TypeScript,docs,32.4
task_125,1,2,2,TypeScript,refactor,68.2
task_126,1,5,10,Python,bug_fix,78.3
task_127,0,3,7,TypeScript,bug_fix,64.2
task_128,1,5,8,Python,bug_fix,83.2
task_129,1,5,5,Python,bug_fix,87.9
task_130,1,4,2,Python,feature,102.9
task_131,0,3,3,Go,refactor,90
task_132,0,5,10,Python,docs,67.8
task_133,0,5,7,JavaScript,feature,108.9
task_134,0,1,7,TypeScript,docs,29.6
task_135,0,4,4,Python,refactor,94.5
task_136,0,5,10,Go,refactor,90.3
task_137,0,3,10,JavaScript,feature,73.1
task_138,0,2,6,JavaScript,bug_fix,57.6
task_139,0,1,3,JavaScript,feature,64
task_140,1,4,2,JavaScript,feature,94.4
task_141,0,5,9,TypeScript,refactor,89.5
task_142,1,5,5,Python,feature,101.5
task_143,0,1,4,JavaScript,refactor,56
task_144,0,3,10,Go,bug_fix,61.8
task_145,1,5,6,TypeScript,bug_fix,85.9
task_146,0,1,5,JavaScript,refactor,49.5
task_147,0,5,10,JavaScript,feature,98.8
task_148,1,3,6,TypeScript,refactor,68.1
task_149,1,2,4,JavaScript,refactor,59.3
task_150,0,2,10,Go,docs,39.3
task_151,1,2,5,JavaScript,feature,65.1
task_152,0,2,4,TypeScript,refactor,70.9
task_153,0,4,9,JavaScript,docs,59.5
task_154,1,5,4,JavaScript,docs,78.4
task_155,0,1,2,Python,feature,69.9
task_156,1,5,7,Python,bug_fix,82.6
task_157,1,2,1,JavaScript,bug_fix,58.1
task_158,0,5,9,JavaScript,bug_fix,80.7
task_159,0,1,4,Go,bug_fix,51.5
task_160,1,5,8,TypeScript,refactor,89.1
task_161,1,4,6,Go,refactor,82.8
task_162,0,1,10,Go,bug_fix,34.2
task_163,0,1,4,Go,docs,39
task_164,0,2,1,TypeScript,feature,84.3
task_165,0,1,5,TypeScript,docs,34.8
task_166,1,3,9,Python,docs,41.7
task_167,1,5,6,Python,docs,71.1
task_168,0,5,10,TypeScript,refactor,86.7
task_169,1,4,3,JavaScript,bug_fix,79.2
task_170,0,3,10,Go,bug_fix,58.7
task_171,0,4,4,Go,feature,108.5
task_172,1,4,7,Go,bug_fix,76.1
task_173,0,5,3,TypeScript,feature,119.2
task_174,0,3,7,Python,bug_fix,63
task_175,0,4,10,JavaScript,docs,58.8
task_176,0,1,6,TypeScript,refactor,51
task_177,0,1,9,JavaScript,refactor,41.5
task_178,1,4,1,Python,docs,75.8
task_179,0,3,7,TypeScript,docs,49.1
task_180,0,3,10,TypeScript,bug_fix,57.7
task_181,1,3,2,Go,refactor,83.1
task_182,0,3,8,TypeScript,docs,50.6
task_183,0,1,10,Python,feature,54.8
task_184,0,2,2,TypeScript,feature,82.3
task_185,1,4,8,Go,docs,62.9
task_186,1,3,10,TypeScript,refactor,59.2
task_187,1,5,2,JavaScript,docs,76.9
task_188,0,4,7,Python,docs,65
task_189,0,4,9,Python,docs,63.4
task_190,1,3,10,JavaScript,feature,67.7
task_191,0,3,5,JavaScript,refactor,77
task_192,1,5,7,Go,docs,74.5
task_193,0,1,8,JavaScript,docs,22.9
task_194,0,2,2,Go,feature,89.8
task_195,0,1,4,TypeScript,bug_fix,47.4
task_196,1,3,5,TypeScript,bug_fix,62.9
task_197,0,1,9,JavaScript,docs,24.9
task_198,1,1,10,TypeScript,docs,10.2
task_199,1,5,1,Go,feature,114.8
task_200,0,4,5,Go,refactor,96.9
